"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
1.655280167E0;6.269676983E-3;-4.258190945E-2;4.035783327E-1;4.058669714E-1
1.665209167E0;1.220857058E-2;-4.633816078E-2;5.510199684E-1;5.530997016E-1
1.675139167E0;-4.289405483E-3;-7.025093392E-2;4.452344817E-1;4.507630602E-1
1.685068167E0;5.554747519E-3;-7.338738039E-2;4.650354928E-1;4.708232921E-1
1.694998167E0;5.076184894E-3;-8.312825695E-2;5.314961153E-1;5.379815939E-1
1.704927167E0;8.424259464E-3;-6.364898890E-2;4.294306272E-1;4.342036683E-1
1.714857167E0;-2.161329619E-3;-7.252389282E-2;5.563315791E-1;5.610429683E-1
1.724786167E0;6.782925474E-3;-4.847195596E-2;4.835471928E-1;4.860179279E-1
1.734716167E0;2.123501103E-2;-6.667477682E-2;5.155998749E-1;5.203265153E-1
1.744645167E0;8.503708506E-3;-5.323772907E-2;5.483589005E-1;5.510027701E-1
1.754574167E0;1.087604724E-2;-4.808004633E-2;4.732666183E-1;4.758269341E-1
1.764504167E0;-2.348353725E-3;-7.408626884E-2;5.868002504E-1;5.914632904E-1
1.774433167E0;5.839015846E-3;-6.134562448E-2;5.405037510E-1;5.440052248E-1
1.784363167E0;1.868372695E-3;-9.330533579E-2;5.285228062E-1;5.366989222E-1
1.794292167E0;-2.125579377E-3;-8.407302082E-2;5.948413414E-1;6.007570327E-1
1.804222167E0;-1.796041952E-2;-9.457403541E-2;5.560000420E-1;5.642719836E-1
1.814151167E0;-9.832529377E-3;-4.531329006E-2;5.139188004E-1;5.160063045E-1
1.824081167E0;-1.428117099E-2;-7.717140600E-2;5.452066666E-1;5.508263674E-1
1.834010167E0;-3.397188897E-3;-4.713162795E-2;5.454996121E-1;5.475424714E-1
1.843940167E0;6.927312871E-3;-6.030657426E-2;5.323065394E-1;5.357565888E-1
1.853869167E0;1.414615056E-4;-5.775996566E-2;5.507381326E-1;5.537587239E-1
1.863799167E0;-4.611664724E-3;-5.948825642E-2;5.170874065E-1;5.205184973E-1
1.873728167E0;-8.262118001E-3;-7.414327919E-2;5.241245306E-1;5.294072270E-1
1.883658167E0;1.316904656E-2;-7.218314633E-2;5.357142967E-1;5.407158571E-1
1.893587167E0;-6.909549669E-3;-8.631864399E-2;5.180422568E-1;5.252298830E-1
1.903516167E0;-1.681872554E-2;-7.253032476E-2;5.443903953E-1;5.494582969E-1
1.913446167E0;1.845726154E-3;-7.636989892E-2;5.663203776E-1;5.714495063E-1
1.923375167E0;-1.515564036E-3;-6.833523989E-2;5.236111450E-1;5.280536271E-1
1.933305167E0;1.608364830E-2;-7.547659054E-2;5.291151291E-1;5.347132122E-1
1.943234167E0;5.148532768E-3;-6.548808441E-2;5.303272569E-1;5.343801980E-1
1.953164167E0;1.101830131E-2;-6.888385490E-2;4.920543069E-1;4.969746768E-1
1.963093167E0;9.332594723E-3;-8.175737724E-2;5.233784258E-1;5.298078356E-1
1.973023167E0;-3.925676693E-3;-8.195165098E-2;5.186170381E-1;5.250667732E-1
1.982952167E0;-1.606584170E-3;-7.269316971E-2;5.234667188E-1;5.284924633E-1
1.992882167E0;-1.435094472E-2;-5.763965920E-2;5.279889554E-1;5.313196937E-1
2.002811167E0;-1.338848160E-2;-5.584178656E-2;5.384882158E-1;5.415414251E-1
2.012741167E0;1.600428605E-3;-6.135878071E-2;5.135106647E-1;5.171659928E-1
2.022670167E0;4.848383311E-3;-6.954093575E-2;5.391822803E-1;5.436699182E-1
2.032600167E0;1.144525769E-2;-7.422937945E-2;5.428964317E-1;5.480670855E-1
2.042529167E0;1.459781142E-2;-6.561116830E-2;5.179294056E-1;5.222727167E-1
2.052458167E0;-2.236194536E-4;-5.884798631E-2;5.434624422E-1;5.466393341E-1
2.062388167E0;1.276451745E-3;-8.213028342E-2;5.073962313E-1;5.140018952E-1
2.072317167E0;5.633292070E-3;-7.279023349E-2;5.046106178E-1;5.098647150E-1
2.082247167E0;3.348755222E-3;-7.485810131E-2;5.169388872E-1;5.223416149E-1
2.092176167E0;5.040475766E-3;-8.947891787E-2;5.393571121E-1;5.467522085E-1
2.102106167E0;-6.384282410E-3;-6.294425324E-2;5.194537747E-1;5.232924251E-1
2.112035167E0;1.108842222E-3;-6.410156339E-2;5.476192278E-1;5.513592827E-1
2.121965167E0;1.008781744E-4;-8.157216668E-2;5.140936321E-1;5.205250149E-1
2.131894167E0;1.363244068E-3;-6.265116155E-2;5.113460255E-1;5.151716066E-1
2.141824167E0;-3.693610753E-3;-5.267610401E-2;5.446710616E-1;5.472247985E-1
2.151753167E0;-4.480376460E-3;-4.512544826E-2;5.111904895E-1;5.131979116E-1
2.161683167E0;-5.900208328E-3;-6.799668610E-2;5.360838407E-1;5.404111824E-1
2.171612167E0;1.327838721E-3;-8.354940265E-2;5.285526270E-1;5.351169455E-1
2.181542167E0;4.170892015E-4;-7.722973198E-2;5.309529090E-1;5.365403965E-1
2.191471167E0;-1.333917769E-2;-5.048281342E-2;5.403967470E-1;5.429135219E-1
2.201400167E0;-5.063770982E-3;-7.041407123E-2;5.182118261E-1;5.229983555E-1
2.211330167E0;1.029871692E-2;-9.201792508E-2;5.284245729E-1;5.364754341E-1
2.221259167E0;1.350522948E-2;-9.783912063E-2;5.332374161E-1;5.423071332E-1
2.231189167E0;1.328959513E-2;-8.702454910E-2;5.377941513E-1;5.449517728E-1
2.241118167E0;4.614723092E-3;-5.843005657E-2;5.105244917E-1;5.138780242E-1
2.251048167E0;-1.234744652E-4;-6.746458948E-2;5.317867219E-1;5.360490684E-1
2.260977167E0;7.944337819E-3;-5.741497993E-2;5.088603741E-1;5.121508301E-1
2.270907167E0;5.978389713E-4;-5.672179252E-2;4.837465829E-1;4.870610594E-1
2.280836042E0;8.430179770E-3;-5.733165711E-2;5.173978937E-1;5.206328526E-1
2.290766042E0;-2.627912303E-4;-8.350174785E-2;5.134141856E-1;5.201602993E-1
2.300695042E0;3.305579473E-3;-8.088877335E-2;5.271820396E-1;5.333618128E-1
2.310625042E0;-9.021075172E-3;-7.514812320E-2;4.903942823E-1;4.962007380E-1
2.320554042E0;-1.588782596E-2;-8.758763596E-2;5.226042545E-1;5.301313269E-1
2.330484042E0;-3.289437960E-3;-8.059275806E-2;5.439056611E-1;5.498539636E-1
2.340413042E0;7.616820652E-4;-7.520396411E-2;5.561696112E-1;5.612315501E-1
2.350342042E0;1.084622644E-2;-4.677260891E-2;5.613970220E-1;5.634464783E-1
2.360272042E0;5.386059915E-3;-3.887009695E-2;5.510544670E-1;5.524499250E-1
2.370201042E0;-3.065037355E-3;-6.026345104E-2;5.402692777E-1;5.436285224E-1
2.380131042E0;8.655736113E-3;-7.191870600E-2;5.310698533E-1;5.359873237E-1
2.390060042E0;-7.418860425E-3;-9.208516806E-2;5.462731987E-1;5.540298957E-1
2.399990042E0;3.835396597E-3;-1.027659845E-1;5.190392071E-1;5.291287710E-1
2.409919042E0;-9.137665455E-3;-1.132735772E-1;5.267733192E-1;5.388919466E-1
2.419849042E0;-4.232454516E-3;-9.641283855E-2;5.018513167E-1;5.110460773E-1
2.429778042E0;1.001813051E-2;-8.085208207E-2;4.930600280E-1;4.997455485E-1
2.439708042E0;-1.281686374E-2;-4.817520976E-2;5.326053321E-1;5.349332320E-1
2.449637042E0;-2.934911682E-3;-3.698787823E-2;5.139094448E-1;5.152471585E-1
2.459567042E0;-1.113894582E-4;-4.530875847E-2;5.592949480E-1;5.611272002E-1
2.469496042E0;-1.952693427E-2;-6.413869321E-2;5.477940595E-1;5.518816945E-1
2.479425042E0;-3.184655170E-2;-6.849252999E-2;5.384911394E-1;5.437629417E-1
2.489355042E0;-2.125061122E-2;-7.561721608E-2;5.395681965E-1;5.452553444E-1
2.499284042E0;-2.697553555E-4;-1.093866406E-1;5.042498446E-1;5.159781155E-1
2.509214042E0;2.323955533E-2;-1.206248429E-1;4.871835762E-1;5.024323503E-1
2.519143042E0;2.009551432E-2;-8.797881469E-2;5.533266950E-1;5.606376128E-1
2.529073042E0;-2.412723347E-3;-4.360575691E-2;5.489950776E-1;5.507294059E-1
2.539002042E0;-1.171984614E-2;-6.022354379E-2;5.344957370E-1;5.380055045E-1
2.548932042E0;-4.065637565E-3;-9.123469055E-2;5.463182223E-1;5.538988158E-1
2.558861042E0;-5.517053534E-3;-1.004420087E-1;5.415387082E-1;5.508023307E-1
2.568791042E0;-2.412659393E-2;-1.075849673E-1;5.714618343E-1;5.820010703E-1
2.578720042E0;-1.057918684E-2;-8.708886847E-2;5.409446311E-1;5.480123029E-1
2.588650042E0;9.282409167E-3;-9.339012042E-2;5.201355600E-1;5.285346522E-1
2.598579042E0;2.018709406E-2;-8.045300961E-2;5.505732411E-1;5.567864037E-1
2.608509042E0;1.265318053E-2;-4.747588277E-2;4.794985807E-1;4.820092855E-1
2.618438042E0;3.209909660E-2;4.600443095E-3;4.871520013E-1;4.882300569E-1
2.628367042E0;2.463836463E-2;-1.523009643E-2;4.895990610E-1;4.904551411E-1
2.638297042E0;2.390388582E-2;-6.396839306E-2;4.617856103E-1;4.668075631E-1
2.648226042E0;1.461791351E-2;-5.001225874E-2;5.035744911E-1;5.062629530E-1
2.658156042E0;4.486383561E-3;-6.823656812E-2;5.134592092E-1;5.179929694E-1
2.668085042E0;-2.007820108E-2;-1.367223738E-1;5.336560768E-1;5.512576076E-1
2.678015042E0;-1.601699004E-2;-1.442924716E-1;5.670249671E-1;5.853154488E-1
2.687944042E0;6.960155494E-3;-7.238926068E-2;5.569823742E-1;5.617099020E-1
2.697874042E0;-4.095220822E-3;-4.174780414E-2;5.557784325E-1;5.573592342E-1
2.707803042E0;-6.349623953E-3;-5.854436964E-2;5.339197862E-1;5.371574248E-1
2.717733042E0;-3.473917614E-3;-9.008103490E-2;5.363212377E-1;5.438447673E-1
2.727662042E0;-4.054772251E-3;-8.274453342E-2;5.707911587E-1;5.767717450E-1
2.737592042E0;-8.394274211E-3;-5.363782480E-2;5.336361963E-1;5.363907811E-1
2.747521042E0;-3.905297776E-2;-5.441082671E-2;5.796292251E-1;5.834858282E-1
2.757450042E0;-4.046215216E-2;-8.708536014E-2;5.685885125E-1;5.766402191E-1
2.767380042E0;-3.015900187E-2;-1.293852876E-1;5.115658808E-1;5.285354940E-1
2.777309042E0;-1.572829291E-2;-7.751449138E-2;5.194023192E-1;5.253899930E-1
2.787239042E0;1.007563650E-2;-1.648958668E-2;4.962771660E-1;4.966532497E-1
2.797168042E0;1.293048473E-2;-3.929197356E-2;4.876513535E-1;4.894025942E-1
2.807098042E0;1.185467242E-2;-8.773557052E-2;5.348945171E-1;5.421717514E-1
2.817027042E0;1.771664773E-2;-9.204803824E-2;4.560962695E-1;4.656291743E-1
2.826957042E0;-8.934271429E-3;-2.541477665E-2;5.048737425E-1;5.055919579E-1
2.836886042E0;8.278994984E-4;-3.752377555E-2;5.045316803E-1;5.059258203E-1
2.846816042E0;2.638699959E-3;-8.538995996E-2;5.537184584E-1;5.602700592E-1
2.856745042E0;-1.210442162E-2;-1.331837851E-1;5.689358371E-1;5.844419770E-1
2.866675042E0;1.059428910E-2;-9.589287490E-2;5.172932285E-1;5.262128530E-1
2.876604042E0;2.504805116E-2;-6.462459683E-2;4.905778849E-1;4.954496993E-1
2.886533042E0;5.343560250E-2;-5.481545404E-2;5.169505817E-1;5.225877931E-1
2.896463042E0;-4.248392747E-3;-7.410541847E-2;5.348249352E-1;5.399512693E-1
2.906392042E0;-3.808574094E-2;-6.637656882E-2;5.162097394E-1;5.218513846E-1
2.916322042E0;-3.465989612E-3;-4.999530181E-2;5.934567207E-1;5.955689907E-1
2.926251042E0;-2.226591855E-2;-8.565220758E-2;6.008926249E-1;6.073746936E-1
2.936181042E0;-8.359510687E-3;-8.198804989E-2;5.200268018E-1;5.265166629E-1
2.946110042E0;-2.098528924E-2;-8.954352960E-2;4.969419944E-1;5.053808187E-1
2.956040042E0;-1.137629709E-2;-6.513710529E-2;5.251898932E-1;5.293360809E-1
2.965969042E0;-7.045545399E-3;-6.165961996E-2;5.421947658E-1;5.457350204E-1
